dataset,algorithm,k,docker_root,materialized_path,bytes_total,files_total,partitions_total,max_partition_bytes,avg_partition_bytes,rows_written,rows_skipped,materialization_time_sec,log_file
ldbc_inputs_1_4,ptscotch,6,docker_ldbc_clean,results/docker_ldbc_clean/algorithm_outputs/ptscotch_ldbc_inputs_1_4_k6/materialized_property_graph,853958008,198,6,359095730,142326334.67,20480521,0,106.548,results/logs/materialize_ldbc_inputs_1_4_ptscotch_k6_2026-03-25_235829.log
ldbc_inputs_1_4,ptscotch,8,docker_ldbc_clean,results/docker_ldbc_clean/algorithm_outputs/ptscotch_ldbc_inputs_1_4_k8/materialized_property_graph,853961330,264,8,264055520,106745166.25,20480521,0,105.547,results/logs/materialize_ldbc_inputs_1_4_ptscotch_k8_2026-03-25_235831.log
ldbc_inputs_1_4,rcp,2,docker_ldbc_clean,results/docker_ldbc_clean/algorithm_outputs/rcp_ldbc_inputs_1_4_k2/materialized_property_graph,1565788587,64,2,845136969,782894293.50,,,,
ldbc_inputs_1_4,rcp,4,docker_ldbc_materialized_rcp,results/docker_ldbc_materialized_rcp/algorithm_outputs/rcp_ldbc_inputs_1_4_k4/materialized_property_graph,1939655815,132,4,518301467,484913953.75,,,,
ldbc_inputs_1_4,rcp,6,docker_ldbc_materialized_rcp,results/docker_ldbc_materialized_rcp/algorithm_outputs/rcp_ldbc_inputs_1_4_k6/materialized_property_graph,2231587695,198,6,467434276,371931282.50,,,,
ldbc_inputs_1_4,rcp,8,docker_ldbc_materialized_rcp,results/docker_ldbc_materialized_rcp/algorithm_outputs/rcp_ldbc_inputs_1_4_k8/materialized_property_graph,2460882970,264,8,422383021,307610371.25,,,,
ldbc_inputs_1_4,scotch,2,docker_ldbc_clean,results/docker_ldbc_clean/algorithm_outputs/scotch_ldbc_inputs_1_4_k2/materialized_property_graph,853951364,66,2,513483970,426975682.00,20480521,0,109.538,results/logs/materialize_ldbc_inputs_1_4_scotch_k2_2026-03-26_000015.log
ldbc_inputs_1_4,scotch,4,docker_ldbc_clean,results/docker_ldbc_clean/algorithm_outputs/scotch_ldbc_inputs_1_4_k4/materialized_property_graph,853954686,132,4,336353069,213488671.50,20480521,0,109.379,results/logs/materialize_ldbc_inputs_1_4_scotch_k4_2026-03-26_000021.log
ldbc_inputs_1_4,scotch,6,docker_ldbc_clean,results/docker_ldbc_clean/scotch_ldbc_inputs_1_4_k6/materialized_property_graph,853958008,198,6,308013833,142326334.67,20480521,0,109.475,results/logs/materialize_ldbc_inputs_1_4_scotch_k6_2026-03-26_000021.log
ldbc_inputs_1_4,scotch,8,docker_ldbc_clean,results/docker_ldbc_clean/scotch_ldbc_inputs_1_4_k8/materialized_property_graph,853961330,264,8,252849768,106745166.25,20480521,0,109.439,results/logs/materialize_ldbc_inputs_1_4_scotch_k8_2026-03-26_000209.log
mb6_neo4j_inputs,kahip_fast,2,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/kahip_fast_mb6_neo4j_inputs_k2/materialized_property_graph,66651574,20,2,40488542,33325787.00,1447842,0,9.362,results/logs/materialize_mb6_neo4j_inputs_kahip_fast_k2_2026-03-26_000215.log
mb6_neo4j_inputs,kahip_fast,4,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/kahip_fast_mb6_neo4j_inputs_k4/materialized_property_graph,66658316,40,4,21672656,16664579.00,1447844,0,9.481,results/logs/materialize_mb6_neo4j_inputs_kahip_fast_k4_2026-03-26_000215.log
mb6_neo4j_inputs,kahip_fast,6,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/kahip_fast_mb6_neo4j_inputs_k6/materialized_property_graph,66665058,60,6,19865487,11110843.00,1447846,0,9.982,results/logs/materialize_mb6_neo4j_inputs_kahip_fast_k6_2026-03-26_000227.log
mb6_neo4j_inputs,kahip_fast,8,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/kahip_fast_mb6_neo4j_inputs_k8/materialized_property_graph,66671800,80,8,13706479,8333975.00,1447848,0,10.182,results/logs/materialize_mb6_neo4j_inputs_kahip_fast_k8_2026-03-26_000227.log
mb6_neo4j_inputs,metis,2,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/metis_mb6_neo4j_inputs_k2/materialized_property_graph,66651574,20,2,34914726,33325787.00,1447842,0,9.524,results/logs/materialize_mb6_neo4j_inputs_metis_k2_2026-03-26_000239.log
mb6_neo4j_inputs,metis,4,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/metis_mb6_neo4j_inputs_k4/materialized_property_graph,66658316,40,4,17602603,16664579.00,1447844,0,9.640,results/logs/materialize_mb6_neo4j_inputs_metis_k4_2026-03-26_000239.log
mb6_neo4j_inputs,metis,6,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/metis_mb6_neo4j_inputs_k6/materialized_property_graph,66665058,60,6,11789185,11110843.00,1447846,0,10.742,results/logs/materialize_mb6_neo4j_inputs_metis_k6_2026-03-26_000249.log
mb6_neo4j_inputs,metis,8,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/metis_mb6_neo4j_inputs_k8/materialized_property_graph,66671800,80,8,8815791,8333975.00,1447848,0,10.936,results/logs/materialize_mb6_neo4j_inputs_metis_k8_2026-03-26_000249.log
mb6_neo4j_inputs,parmetis,2,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/parmetis_mb6_neo4j_inputs_k2/materialized_property_graph,66651574,20,2,37271642,33325787.00,1447842,0,9.779,results/logs/materialize_mb6_neo4j_inputs_parmetis_k2_2026-03-26_000302.log
mb6_neo4j_inputs,parmetis,4,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/parmetis_mb6_neo4j_inputs_k4/materialized_property_graph,66658316,40,4,18823218,16664579.00,1447844,0,9.948,results/logs/materialize_mb6_neo4j_inputs_parmetis_k4_2026-03-26_000302.log
mb6_neo4j_inputs,parmetis,6,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/parmetis_mb6_neo4j_inputs_k6/materialized_property_graph,66665058,60,6,12276999,11110843.00,1447846,0,10.380,results/logs/materialize_mb6_neo4j_inputs_parmetis_k6_2026-03-26_000312.log
mb6_neo4j_inputs,parmetis,8,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/parmetis_mb6_neo4j_inputs_k8/materialized_property_graph,66671800,80,8,9463701,8333975.00,1447848,0,10.593,results/logs/materialize_mb6_neo4j_inputs_parmetis_k8_2026-03-26_000314.log
mb6_neo4j_inputs,ptscotch,2,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/ptscotch_mb6_neo4j_inputs_k2/materialized_property_graph,66651574,20,2,34375690,33325787.00,1447842,0,10.152,results/logs/materialize_mb6_neo4j_inputs_ptscotch_k2_2026-03-26_000324.log
mb6_neo4j_inputs,ptscotch,4,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/ptscotch_mb6_neo4j_inputs_k4/materialized_property_graph,66658316,40,4,17986977,16664579.00,1447844,0,10.178,results/logs/materialize_mb6_neo4j_inputs_ptscotch_k4_2026-03-26_000324.log
mb6_neo4j_inputs,ptscotch,6,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/ptscotch_mb6_neo4j_inputs_k6/materialized_property_graph,66665058,60,6,12787216,11110843.00,1447846,0,9.531,results/logs/materialize_mb6_neo4j_inputs_ptscotch_k6_2026-03-26_000337.log
mb6_neo4j_inputs,ptscotch,8,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/ptscotch_mb6_neo4j_inputs_k8/materialized_property_graph,66671800,80,8,10407949,8333975.00,1447848,0,9.738,results/logs/materialize_mb6_neo4j_inputs_ptscotch_k8_2026-03-26_000337.log
mb6_neo4j_inputs,rcp,2,docker_mb6_materialized_rcp,results/docker_mb6_materialized_rcp/algorithm_outputs/rcp_mb6_neo4j_inputs_k2/materialized_property_graph,43412366,20,2,22284639,21706183.00,,,,
mb6_neo4j_inputs,rcp,4,docker_mb6_materialized_rcp,results/docker_mb6_materialized_rcp/algorithm_outputs/rcp_mb6_neo4j_inputs_k4/materialized_property_graph,44975579,40,4,13598953,11243894.75,,,,
mb6_neo4j_inputs,rcp,6,docker_mb6_materialized_rcp,results/docker_mb6_materialized_rcp/algorithm_outputs/rcp_mb6_neo4j_inputs_k6/materialized_property_graph,49766865,60,6,10809841,8294477.50,,,,
mb6_neo4j_inputs,rcp,8,docker_mb6_materialized_rcp,results/docker_mb6_materialized_rcp/algorithm_outputs/rcp_mb6_neo4j_inputs_k8/materialized_property_graph,57148021,80,8,10808911,7143502.62,,,,
mb6_neo4j_inputs,scotch,2,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/scotch_mb6_neo4j_inputs_k2/materialized_property_graph,66651574,20,2,34029248,33325787.00,1447842,0,10.615,results/logs/materialize_mb6_neo4j_inputs_scotch_k2_2026-03-26_000348.log
mb6_neo4j_inputs,scotch,4,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/scotch_mb6_neo4j_inputs_k4/materialized_property_graph,66658316,40,4,18347514,16664579.00,1447844,0,10.755,results/logs/materialize_mb6_neo4j_inputs_scotch_k4_2026-03-26_000348.log
mb6_neo4j_inputs,scotch,6,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/scotch_mb6_neo4j_inputs_k6/materialized_property_graph,66665058,60,6,12731901,11110843.00,1447846,0,11.433,results/logs/materialize_mb6_neo4j_inputs_scotch_k6_2026-03-26_000400.log
mb6_neo4j_inputs,scotch,8,docker_mb6_materialized,results/docker_mb6_materialized/algorithm_outputs/scotch_mb6_neo4j_inputs_k8/materialized_property_graph,66671800,80,8,10200579,8333975.00,1447848,0,11.602,results/logs/materialize_mb6_neo4j_inputs_scotch_k8_2026-03-26_000400.log
