timestamp_utc,dataset,algorithm,k,case_label,partition_file,node_index_file,mapping_total,mapping_matched,mapping_coverage,assigned_nodes,total_edges_db,assigned_edges,cross_partition_edges,cross_partition_edge_ratio,k_detected,min_block,max_block,partition_balance,query_files,query_exec_time_sec,query_avg_ms,query_p50_ms,query_p95_ms,query_std_ms,dataset_load_time_sec,dataset_loaded_nodes,dataset_loaded_rels
2026-03-03T13:57:18.895600+00:00,fib25_neo4j_inputs,hash,4,hash_fib25_neo4j_inputs_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_fib25_neo4j_inputs_k4/hash_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_fib25_neo4j_inputs_k4/node_index.tsv,1151506,9504,0.008254,9504,2359,2189,1657,0.756967,4,2318,2429,1.022306,10,0.130977,5.262791,5.014283,5.014283,1.369948,48.835845,10000,2359
2026-03-03T13:58:01.019475+00:00,fib25_neo4j_inputs,kahip_fast,4,kahip_fast_fib25_neo4j_inputs_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_fib25_neo4j_inputs_k4/kahip_fast_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_fib25_neo4j_inputs_k4/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,645,0.273421,4,211,7708,3.0832,10,0.206754,5.635646,4.925929,4.925929,2.062613,48.835845,10000,2359
2026-03-03T13:58:41.397401+00:00,fib25_neo4j_inputs,metis,4,metis_fib25_neo4j_inputs_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_fib25_neo4j_inputs_k4/metis_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_fib25_neo4j_inputs_k4/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,1473,0.624417,4,659,4572,1.8288,10,0.185717,4.895825,4.407788,4.407788,1.257501,48.835845,10000,2359
2026-03-25T20:01:36.478647+00:00,fib25_neo4j_inputs,parmetis,4,parmetis_fib25_neo4j_inputs_k4,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/parmetis_fib25_neo4j_inputs_k4/parmetis_partition_k4.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/parmetis_fib25_neo4j_inputs_k4/node_index.tsv,1151506,10000,0.008684,10000,10000,10000,5163,0.5163,4,576,5535,2.214,10,0.154439,11.344113,11.221015,11.221015,5.117852,121.158887,10000,10000
2026-03-03T13:59:25.415613+00:00,fib25_neo4j_inputs,ptscotch,4,ptscotch_fib25_neo4j_inputs_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/ptscotch_fib25_neo4j_inputs_k4/scotch_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/ptscotch_fib25_neo4j_inputs_k4/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,1426,0.604493,4,1098,6159,2.4636,10,0.155981,4.836129,4.351561,4.351561,1.426566,48.835845,10000,2359
2026-03-25T20:02:28.934161+00:00,fib25_neo4j_inputs,rcp,4,rcp_fib25_neo4j_inputs_k4,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/rcp_fib25_neo4j_inputs_k4/rcp_partition_k4_comparable.txt,/mnt/c/users/victo/ptuxiaki/project/spark/results/docker_fib25_kahip_metis_rcp/algorithm_outputs/rcp_fib25_neo4j_inputs_k4/node_index.tsv,1151506,10000,0.008684,10000,10000,10000,0,0.0,2,4,9996,1.9992,10,0.167571,11.56218,11.357791,11.357791,4.107437,121.158887,10000,10000
2026-03-03T14:00:10.960342+00:00,fib25_neo4j_inputs,scotch,4,scotch_fib25_neo4j_inputs_k4,/mnt/c/Users/victo/ptuxiaki/project/spark/results/scotch_fib25_neo4j_inputs_k4/scotch_partition_k4.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/scotch_fib25_neo4j_inputs_k4/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,950,0.402713,4,568,6052,2.4208,10,0.19896,6.227979,5.859926,5.859926,2.082207,48.835845,10000,2359
2026-03-03T14:00:49.790358+00:00,fib25_neo4j_inputs,hash,6,hash_fib25_neo4j_inputs_k6,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_fib25_neo4j_inputs_k6/hash_partition_k6.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/hash_fib25_neo4j_inputs_k6/node_index.tsv,1151506,9504,0.008254,9504,2359,2189,1810,0.826862,6,1546,1645,1.03851,10,0.218603,7.533915,7.310533,7.310533,3.138725,48.835845,10000,2359
2026-03-03T14:01:30.411444+00:00,fib25_neo4j_inputs,kahip_fast,6,kahip_fast_fib25_neo4j_inputs_k6,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_fib25_neo4j_inputs_k6/kahip_fast_partition_k6.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/kahip_fast_fib25_neo4j_inputs_k6/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,1613,0.683764,5,420,3207,1.6035,10,0.144218,4.57036,4.141281,4.141281,1.273619,48.835845,10000,2359
2026-03-03T14:02:13.032835+00:00,fib25_neo4j_inputs,metis,6,metis_fib25_neo4j_inputs_k6,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_fib25_neo4j_inputs_k6/metis_partition_k6.txt,/mnt/c/Users/victo/ptuxiaki/project/spark/results/metis_fib25_neo4j_inputs_k6/node_index.tsv,1151506,10000,0.008684,10000,2359,2359,1452,0.615515,6,124,4098,2.4588,10,0.151009,4.590304,4.34832,4.34832,1.268646,48.835845,10000,2359
